Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251120_173226
Timestamp: 20251120_173226

Parameters:
  chromosome_length   = 68
  population_size     = 40
  max_generations     = 100
  crossover_rate      = 0.8
  mutation_rate       = 0.2
  mutation_step       = 0.1
  tournament_k        = 3
  num_cores           = 19
  death_penalty_scale = 10.0

Summary:
  total_time_seconds      = 1528.9205
  best_overall_fitness    = 59.000000
  num_generations_ran     = 100

Per generation scores:
  gen_index, training_best, seed0_eval
  0, 36.000000, -63.000000
  1, 24.000000, -63.000000
  2, -84.000000, -63.000000
  3, -16.000000, -52.000000
  4, -19.000000, -63.000000
  5, -7.000000, -64.000000
  6, 21.000000, -64.000000
  7, 8.000000, -66.000000
  8, -36.000000, -62.000000
  9, 33.000000, -62.000000
  10, -28.000000, -62.000000
  11, 1.000000, -63.000000
  12, -80.000000, -64.000000
  13, 39.000000, -33.000000
  14, -45.000000, -60.000000
  15, -32.000000, -64.000000
  16, 2.000000, -64.000000
  17, -21.000000, -32.000000
  18, -30.000000, -64.000000
  19, -2.000000, -62.000000
  20, -27.000000, -63.000000
  21, -7.000000, -62.000000
  22, -36.000000, -62.000000
  23, -12.000000, -64.000000
  24, 24.000000, -29.000000
  25, -15.000000, -63.000000
  26, -23.000000, -52.000000
  27, -23.000000, -62.000000
  28, 32.000000, -62.000000
  29, 45.000000, -64.000000
  30, -30.000000, -63.000000
  31, -14.000000, -63.000000
  32, -13.000000, -63.000000
  33, -26.000000, -64.000000
  34, 32.000000, -55.000000
  35, -31.000000, -55.000000
  36, 27.000000, -64.000000
  37, -22.000000, -64.000000
  38, 5.000000, -63.000000
  39, -29.000000, -6.000000
  40, -14.000000, -63.000000
  41, -42.000000, -60.000000
  42, 46.000000, -64.000000
  43, -3.000000, -64.000000
  44, -24.000000, -64.000000
  45, 3.000000, -62.000000
  46, 15.000000, -64.000000
  47, -19.000000, -63.000000
  48, 0.000000, -63.000000
  49, 59.000000, -64.000000
  50, 2.000000, -63.000000
  51, -10.000000, -64.000000
  52, -26.000000, -64.000000
  53, -38.000000, -63.000000
  54, -32.000000, -64.000000
  55, 13.000000, -63.000000
  56, 17.000000, -62.000000
  57, -65.000000, -62.000000
  58, -26.000000, -68.000000
  59, -35.000000, -64.000000
  60, -38.000000, -63.000000
  61, -8.000000, -63.000000
  62, 33.000000, -66.000000
  63, 23.000000, -59.000000
  64, -7.000000, -34.000000
  65, -6.000000, -63.000000
  66, 26.000000, -47.000000
  67, 3.000000, -63.000000
  68, -16.000000, -62.000000
  69, -19.000000, -45.000000
  70, -16.000000, -63.000000
  71, 24.000000, -64.000000
  72, -51.000000, -55.000000
  73, 38.000000, -24.000000
  74, 13.000000, -63.000000
  75, -32.000000, -24.000000
  76, -13.000000, -60.000000
  77, -6.000000, -39.000000
  78, 1.000000, -63.000000
  79, -11.000000, -27.000000
  80, 1.000000, -63.000000
  81, 54.000000, -63.000000
  82, -5.000000, -44.000000
  83, 27.000000, -58.000000
  84, -15.000000, -56.000000
  85, 19.000000, -53.000000
  86, -8.000000, -53.000000
  87, -1.000000, -64.000000
  88, -7.000000, -56.000000
  89, -49.000000, -46.000000
  90, -36.000000, -59.000000
  91, -48.000000, -49.000000
  92, -2.000000, -62.000000
  93, 16.000000, -29.000000
  94, -13.000000, -43.000000
  95, -7.000000, -63.000000
  96, 1.000000, -22.000000
  97, -26.000000, -22.000000
  98, 14.000000, -63.000000
  99, -43.000000, -59.000000
