Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251123_181911
Timestamp: 20251123_181911

Parameters:
  chromosome_length         = 177
  population_size           = 40
  max_generations           = 200
  crossover_rate            = 0.8
  mutation_rate_start       = 0.9
  mutation_rate_end         = 0.05
  mutation_step_start       = 0.9
  mutation_step_end         = 0.02
  tournament_k              = 3
  num_cores                 = 19
  death_penalty_scale       = 10.0
  training_mode             = fixed_maps
  num_training_maps         = 2
  training_map_names        = ['training1', 'training2']
  max_hours                 = None
  gene_resolution           = 0.001
  stagnation_patience       = 20
  stagnation_boost_factor   = 1.5
  stagnation_max_mut_rate   = 0.7
  stagnation_max_mut_step   = 0.3
  elite_fraction            = 0.1
  min_elites                = 2
  immigrant_fraction        = 0.05

Summary:
  total_time_seconds        = 2926.7028
  best_overall_training     = 27.512946
  num_generations_ran       = 200

Per generation scores:
  gen_index, training_best, pop_avg, pop_median, pop_min, pop_max
  82, 25.265526, 10.116597, 10.664049, -2.100000, 25.265526
  83, 25.265526, 11.720251, 12.501369, -2.100000, 25.265526
  84, 25.265526, 9.928867, 11.556639, -2.100000, 25.265526
  85, 25.265526, 12.191417, 11.617816, -2.100000, 25.265526
  86, 25.265526, 9.881661, 8.976276, -2.100000, 25.265526
  87, 25.265526, 11.425706, 11.092266, -2.100000, 25.265526
  88, 25.265526, 10.980898, 10.938001, -2.100000, 25.265526
  89, 25.265526, 12.213165, 12.010081, -2.100000, 25.265526
  90, 25.265526, 12.414005, 12.820330, -1.050000, 25.265526
  91, 25.265526, 11.756601, 9.975060, -1.200000, 25.265526
  92, 25.265526, 12.502439, 11.856505, -2.100000, 25.265526
  93, 25.265526, 12.402450, 12.924706, -2.100000, 25.265526
  94, 25.265526, 13.804259, 13.748601, -2.100000, 25.265526
  95, 25.265526, 12.906848, 13.453283, -2.100000, 25.265526
  96, 25.265526, 13.296211, 14.814296, -2.100000, 25.265526
  97, 25.265526, 13.369981, 13.380623, -1.200000, 25.265526
  98, 25.265526, 13.238276, 13.888416, -2.100000, 25.265526
  99, 25.265526, 12.521075, 12.346235, -2.100000, 25.265526
  100, 25.265526, 14.229548, 14.442553, -2.100000, 25.265526
  101, 25.265526, 12.065691, 12.997244, -2.100000, 25.265526
  102, 25.265526, 13.849794, 15.060050, -2.100000, 25.265526
  103, 25.265526, 13.548703, 13.460258, -2.100000, 25.265526
  104, 27.047321, 13.163303, 14.023374, -2.100000, 27.047321
  105, 27.047321, 14.136150, 14.779291, -0.300000, 27.047321
  106, 27.047321, 14.385691, 14.548414, -2.100000, 27.047321
  107, 27.047321, 13.893297, 13.870600, -2.100000, 27.047321
  108, 27.047321, 16.667888, 16.225178, 4.762500, 27.047321
  109, 27.047321, 12.541890, 13.932389, -2.100000, 27.047321
  110, 27.047321, 13.403054, 13.519233, -2.100000, 27.047321
  111, 27.047321, 15.593088, 14.861450, -2.100000, 27.047321
  112, 27.047321, 15.771007, 15.283218, -2.100000, 27.047321
  113, 27.047321, 15.335686, 15.202737, 0.300000, 27.047321
  114, 27.047321, 16.141575, 16.129827, -1.200000, 27.047321
  115, 27.047321, 17.393207, 17.804227, -0.150000, 27.047321
  116, 27.047321, 16.414612, 17.250039, -2.100000, 27.047321
  117, 27.047321, 14.411978, 14.369814, -0.300000, 27.047321
  118, 27.047321, 16.419741, 15.689635, 3.000000, 27.047321
  119, 27.047321, 16.985086, 17.273716, -0.150000, 27.047321
  120, 27.047321, 16.950880, 17.981881, 2.550000, 27.047321
  121, 27.047321, 16.237772, 16.062982, 0.600000, 27.047321
  122, 27.047321, 18.645946, 18.502807, 7.463710, 27.047321
  123, 27.047321, 16.420371, 15.895919, -1.200000, 27.047321
  124, 27.047321, 17.001031, 15.979663, 2.700000, 27.047321
  125, 27.047321, 15.376242, 16.038094, -2.100000, 27.047321
  126, 27.047321, 15.414322, 14.623762, -2.100000, 27.047321
  127, 27.047321, 13.874359, 14.301220, -2.100000, 27.047321
  128, 27.047321, 15.271337, 13.996180, -0.300000, 27.047321
  129, 27.047321, 15.319654, 16.307246, -2.100000, 27.047321
  130, 27.047321, 14.241671, 14.769710, -2.100000, 27.047321
  131, 27.047321, 13.504878, 13.359807, -2.100000, 27.047321
  132, 27.047321, 14.898630, 16.535923, -2.100000, 27.047321
  133, 27.047321, 16.584364, 16.787213, -2.100000, 27.047321
  134, 27.047321, 13.833648, 14.959164, -2.100000, 27.047321
  135, 27.047321, 13.629366, 13.796990, -2.100000, 27.047321
  136, 27.047321, 14.038777, 14.908836, -2.100000, 27.047321
  137, 27.047321, 13.748443, 14.617083, -2.100000, 27.047321
  138, 27.047321, 16.205922, 17.012956, -2.100000, 27.047321
  139, 27.047321, 16.283989, 16.818059, -2.100000, 27.047321
  140, 27.047321, 15.954946, 17.131828, -2.100000, 27.047321
  141, 27.047321, 13.322880, 13.930713, -2.100000, 27.047321
  142, 27.047321, 15.860375, 14.894694, -1.200000, 27.047321
  143, 27.047321, 13.407423, 14.940487, -2.100000, 27.047321
  144, 27.047321, 14.740047, 15.233974, -2.100000, 27.047321
  145, 27.047321, 16.308642, 16.277378, -2.100000, 27.047321
  146, 27.047321, 15.956782, 15.507987, -2.100000, 27.047321
  147, 27.047321, 16.235075, 16.260172, -2.100000, 27.047321
  148, 27.047321, 14.887620, 14.879747, -2.100000, 27.047321
  149, 27.503315, 17.055571, 16.715699, -2.100000, 27.503315
  150, 27.503315, 18.108721, 17.445707, -1.200000, 27.503315
  151, 27.503315, 19.066434, 18.462140, 3.352174, 27.503315
  152, 27.503315, 18.643595, 17.771247, 3.600000, 27.503315
  153, 27.503315, 20.285812, 19.946776, -1.200000, 27.503315
  154, 27.503315, 21.810218, 23.846821, 1.742308, 27.503315
  155, 27.503315, 20.070497, 22.396279, 0.450000, 27.503315
  156, 27.503315, 21.878387, 25.119993, 9.871698, 27.503315
  157, 27.503315, 20.225899, 21.618636, 6.268750, 27.503315
  158, 27.503315, 20.064380, 20.379149, -0.750000, 27.503315
  159, 27.503315, 20.486933, 20.816902, 2.100000, 27.503315
  160, 27.503315, 21.065167, 20.986902, 5.550000, 27.503315
  161, 27.503315, 21.648981, 23.987444, 7.154839, 27.503315
  162, 27.503315, 21.200617, 24.079893, 1.800000, 27.503315
  163, 27.503315, 21.283970, 22.882911, 0.600000, 27.503315
  164, 27.503315, 22.219312, 24.647443, 0.300000, 27.503315
  165, 27.503315, 22.114145, 25.475859, 5.850000, 27.503315
  166, 27.503315, 22.492233, 24.839301, 3.998276, 27.503315
  167, 27.503315, 20.520795, 20.449634, 1.050000, 27.503315
  168, 27.503315, 20.354106, 22.221699, 6.052972, 27.503315
  169, 27.503315, 19.860216, 18.950910, 4.800000, 27.503315
  170, 27.503315, 20.279658, 22.919402, -2.100000, 27.503315
  171, 27.503315, 17.492011, 16.366747, -2.100000, 27.503315
  172, 27.503315, 18.338641, 17.606249, 1.800000, 27.503315
  173, 27.503315, 18.794905, 21.043247, -2.100000, 27.503315
  174, 27.503315, 19.049826, 18.121608, 2.013462, 27.503315
  175, 27.503315, 17.985360, 18.241106, -2.100000, 27.503315
  176, 27.503315, 17.674738, 17.203991, -2.100000, 27.503315
  177, 27.503315, 19.501636, 19.394775, -2.100000, 27.503315
  178, 27.503315, 17.967237, 17.803964, -2.100000, 27.503315
  179, 27.503315, 19.134099, 20.213699, -2.100000, 27.503315
  180, 27.503315, 19.030417, 18.208479, -2.100000, 27.503315
  181, 27.503315, 19.044838, 20.722898, -2.100000, 27.503315
  182, 27.503315, 19.160868, 18.349762, -2.100000, 27.503315
  183, 27.503315, 19.629854, 18.648717, -0.450000, 27.503315
  184, 27.503315, 18.707884, 18.216433, -2.100000, 27.503315
  185, 27.503315, 19.505515, 18.967007, -0.300000, 27.503315
  186, 27.503315, 19.456954, 18.371663, -2.100000, 27.503315
  187, 27.503315, 21.321496, 23.685632, -2.100000, 27.503315
  188, 27.503315, 20.687541, 22.268027, 4.746429, 27.503315
  189, 27.503315, 20.899696, 23.596358, -2.100000, 27.503315
  190, 27.503315, 21.272033, 23.832646, -2.100000, 27.503315
  191, 27.503315, 21.928740, 25.249611, -2.100000, 27.503315
  192, 27.503315, 23.619159, 26.001607, -2.100000, 27.503315
  193, 27.503315, 21.825706, 25.268527, -2.100000, 27.503315
  194, 27.503315, 22.240630, 25.335422, -0.600000, 27.503315
  195, 27.503315, 22.898897, 27.047321, -2.100000, 27.503315
  196, 27.503315, 22.630556, 27.047321, -2.100000, 27.503315
  197, 27.503315, 22.691358, 27.047321, -2.100000, 27.503315
  198, 27.503315, 22.690277, 26.741690, -2.100000, 27.503315
  199, 27.512946, 24.243509, 27.047321, -2.100000, 27.512946
