Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251120_185806
Timestamp: 20251120_185806

Parameters:
  chromosome_length      = 68
  population_size        = 20
  max_generations        = 200
  crossover_rate         = 0.8
  mutation_rate_start    = 0.3
  mutation_rate_end      = 0.05
  mutation_step_start    = 0.15
  mutation_step_end      = 0.02
  tournament_k           = 3
  num_cores              = 19
  death_penalty_scale    = 10.0
  preset_training_seeds  = [0, 1, 2]
  random_seed_base       = 10000
  validation_seeds       = [10, 11, 12]
  max_hours              = None

Summary:
  total_time_seconds     = 6909.0441
  best_overall_training  = 9.500000
  best_validation_avg    = -33.666667
  num_generations_ran    = 200

Per generation scores:
  gen_index, training_avg_3plus1, validation_avg
  0, -30.000000, -42.333333
  1, -40.000000, -34.000000
  2, -28.000000, -38.333333
  3, -31.250000, -38.333333
  4, -30.750000, -38.333333
  5, -26.750000, -50.666667
  6, -27.750000, -50.666667
  7, -29.000000, -50.666667
  8, -29.000000, -50.666667
  9, -18.250000, -50.666667
  10, -29.250000, -50.666667
  11, -23.750000, -50.666667
  12, -24.500000, -41.666667
  13, -39.750000, -49.333333
  14, -35.750000, -39.666667
  15, -41.750000, -39.666667
  16, -41.000000, -46.000000
  17, -27.750000, -39.333333
  18, -23.750000, -49.000000
  19, -30.750000, -49.000000
  20, -19.750000, -49.000000
  21, -30.250000, -49.000000
  22, -24.000000, -52.666667
  23, -24.250000, -52.666667
  24, -14.750000, -52.666667
  25, -24.000000, -52.666667
  26, -26.000000, -52.666667
  27, -26.250000, -52.666667
  28, -19.500000, -52.666667
  29, -25.500000, -52.666667
  30, -21.250000, -52.666667
  31, -27.250000, -52.666667
  32, -18.250000, -52.666667
  33, -18.250000, -53.666667
  34, -23.000000, -51.333333
  35, -26.250000, -34.000000
  36, -34.750000, -51.333333
  37, -30.750000, -45.333333
  38, -28.250000, -36.000000
  39, -27.500000, -48.666667
  40, -20.000000, -48.666667
  41, -33.250000, -48.666667
  42, -23.000000, -48.666667
  43, -19.750000, -40.666667
  44, -27.000000, -44.000000
  45, -23.000000, -44.000000
  46, -27.250000, -53.000000
  47, -21.000000, -53.000000
  48, -35.500000, -43.333333
  49, -16.000000, -48.333333
  50, -26.750000, -36.666667
  51, -22.500000, -42.666667
  52, -9.750000, -42.666667
  53, -28.000000, -42.666667
  54, -23.000000, -42.666667
  55, -31.000000, -42.666667
  56, -35.750000, -42.666667
  57, -19.000000, -42.666667
  58, -23.250000, -42.666667
  59, -25.250000, -42.666667
  60, -28.500000, -42.666667
  61, -28.750000, -42.666667
  62, -21.500000, -43.333333
  63, -21.500000, -43.333333
  64, -26.250000, -43.333333
  65, -27.000000, -43.333333
  66, -36.750000, -43.333333
  67, -24.500000, -43.333333
  68, -29.000000, -51.333333
  69, -29.000000, -43.333333
  70, -21.250000, -51.333333
  71, -31.750000, -50.666667
  72, -28.500000, -50.666667
  73, -25.000000, -37.333333
  74, -26.500000, -37.333333
  75, -31.000000, -37.333333
  76, -32.500000, -44.333333
  77, -26.500000, -37.333333
  78, -24.750000, -37.333333
  79, -32.250000, -37.333333
  80, -23.000000, -33.666667
  81, -36.000000, -43.666667
  82, -19.250000, -43.666667
  83, -39.750000, -43.666667
  84, -27.750000, -43.333333
  85, -25.500000, -43.333333
  86, -29.000000, -43.333333
  87, -18.750000, -43.333333
  88, -25.500000, -43.333333
  89, -33.750000, -43.333333
  90, -22.750000, -43.333333
  91, -29.500000, -43.333333
  92, -31.500000, -43.333333
  93, -25.000000, -38.666667
  94, -17.250000, -46.666667
  95, -26.250000, -45.333333
  96, -26.250000, -45.333333
  97, -26.750000, -45.333333
  98, -29.500000, -45.333333
  99, -29.000000, -45.333333
  100, -19.000000, -45.333333
  101, -9.250000, -37.333333
  102, -25.000000, -43.000000
  103, -14.250000, -43.000000
  104, -27.250000, -43.000000
  105, -27.250000, -43.000000
  106, -28.500000, -43.000000
  107, -24.250000, -43.000000
  108, -19.750000, -43.000000
  109, -23.750000, -43.000000
  110, -30.000000, -43.000000
  111, -26.750000, -43.000000
  112, -21.250000, -46.000000
  113, -18.000000, -46.000000
