Genetic Algorithm Run Parameters and Results
Run directory: Results\GA_20251122_202922
Timestamp: 20251122_202922

Parameters:
  chromosome_length      = 68
  population_size        = 40
  max_generations        = 200
  crossover_rate         = 0.8
  mutation_rate_start    = 0.9
  mutation_rate_end      = 0.05
  mutation_step_start    = 0.5
  mutation_step_end      = 0.02
  tournament_k           = 3
  num_cores              = 19
  death_penalty_scale    = 10.0
  training_seeds         = [0, 1, 2, 3, 4]
  validation_seeds       = [10, 11, 12]
  max_hours              = None
  gene_resolution        = 0.001
  stagnation_patience    = 20
  stagnation_boost_factor= 1.5
  stagnation_max_mut_rate= 0.7
  stagnation_max_mut_step= 0.3

Summary:
  total_time_seconds     = 10987.8668
  best_overall_training  = 2.000000
  best_validation_avg    = -31.333333
  num_generations_ran    = 200

Per generation scores:
  gen_index, training_avg, validation_avg
  0, -33.600000, -46.666667
  1, -23.400000, -46.666667
  2, -23.400000, -46.666667
  3, -23.400000, -46.666667
  4, -23.400000, -46.666667
  5, -23.400000, -46.666667
  6, -23.400000, -46.666667
  7, -23.400000, -46.666667
  8, -23.400000, -46.666667
  9, -23.400000, -46.666667
  10, -23.400000, -46.666667
  11, -23.400000, -46.666667
  12, -23.400000, -46.666667
  13, -23.400000, -46.666667
  14, -23.400000, -46.666667
  15, -23.400000, -46.666667
  16, -23.400000, -46.666667
  17, -23.400000, -46.666667
  18, -23.400000, -46.666667
  19, -23.400000, -46.666667
  20, -23.400000, -46.666667
  21, -23.400000, -46.666667
  22, -23.400000, -46.666667
  23, -23.400000, -46.666667
  24, -23.400000, -46.666667
  25, -23.400000, -46.666667
  26, -23.400000, -46.666667
  27, -23.400000, -46.666667
  28, -23.400000, -46.666667
  29, -23.400000, -46.666667
  30, -23.400000, -46.666667
  31, -23.400000, -46.666667
  32, -23.400000, -46.666667
  33, -23.400000, -46.666667
  34, -23.400000, -46.666667
  35, -21.000000, -31.333333
  36, -21.000000, -31.333333
  37, -21.000000, -31.333333
  38, -21.000000, -31.333333
  39, -19.200000, -53.000000
  40, -19.200000, -53.000000
  41, -19.200000, -53.000000
  42, -19.200000, -53.000000
  43, -19.200000, -53.000000
  44, -19.200000, -53.000000
  45, -19.200000, -53.000000
  46, -19.200000, -53.000000
  47, -19.200000, -53.000000
  48, -19.200000, -53.000000
  49, -19.200000, -53.000000
  50, -19.200000, -53.000000
  51, -19.200000, -53.000000
  52, -19.200000, -53.000000
  53, -19.200000, -53.000000
  54, -19.200000, -53.000000
  55, -19.200000, -53.000000
  56, -19.200000, -53.000000
  57, -19.200000, -53.000000
  58, -19.200000, -53.000000
  59, -19.200000, -53.000000
  60, -19.200000, -53.000000
  61, -19.200000, -53.000000
  62, -19.200000, -53.000000
  63, -19.200000, -53.000000
  64, -19.200000, -53.000000
  65, -19.200000, -53.000000
  66, -19.200000, -53.000000
  67, -19.200000, -53.000000
  68, -19.200000, -53.000000
  69, -19.200000, -53.000000
  70, -19.200000, -53.000000
  71, -19.200000, -53.000000
  72, -19.200000, -53.000000
  73, -19.200000, -53.000000
  74, -19.200000, -53.000000
  75, -19.200000, -53.000000
  76, -19.200000, -53.000000
  77, -19.200000, -53.000000
  78, -19.200000, -53.000000
  79, -19.200000, -53.000000
  80, -19.200000, -53.000000
  81, -19.200000, -53.000000
  82, -19.200000, -53.000000
  83, -19.200000, -53.000000
  84, -19.200000, -53.000000
  85, -19.200000, -53.000000
  86, -19.200000, -53.000000
  87, -19.200000, -53.000000
  88, -19.200000, -53.000000
  89, -19.200000, -53.000000
  90, -19.200000, -53.000000
  91, -19.200000, -53.000000
  92, -19.200000, -53.000000
  93, -19.200000, -53.000000
  94, -19.200000, -53.000000
  95, -19.200000, -53.000000
  96, -19.200000, -53.000000
  97, -19.200000, -53.000000
  98, -19.200000, -53.000000
  99, -19.200000, -53.000000
  100, -19.200000, -53.000000
  101, -19.200000, -53.000000
  102, -19.200000, -53.000000
  103, -19.200000, -53.000000
  104, -19.200000, -53.000000
  105, -19.200000, -53.000000
  106, -19.200000, -53.000000
  107, -19.200000, -53.000000
  108, -19.200000, -53.000000
  109, -19.200000, -53.000000
  110, -19.200000, -53.000000
  111, -19.200000, -53.000000
  112, -19.200000, -53.000000
  113, -19.200000, -53.000000
  114, -19.200000, -53.000000
  115, -19.200000, -53.000000
  116, -19.200000, -53.000000
  117, -19.200000, -53.000000
  118, -19.200000, -53.000000
  119, -19.200000, -53.000000
  120, -19.200000, -53.000000
  121, -19.200000, -53.000000
  122, -19.200000, -53.000000
  123, -15.800000, -47.000000
  124, -15.800000, -47.000000
  125, -15.800000, -47.000000
  126, -15.800000, -47.000000
  127, -15.800000, -47.000000
  128, -15.800000, -47.000000
  129, -10.000000, -37.000000
  130, -10.000000, -37.000000
  131, -10.000000, -37.000000
  132, -10.000000, -37.000000
  133, -10.000000, -37.000000
  134, -10.000000, -37.000000
  135, -10.000000, -37.000000
  136, -10.000000, -37.000000
  137, -10.000000, -37.000000
  138, -10.000000, -37.000000
  139, -10.000000, -37.000000
  140, -10.000000, -37.000000
  141, -10.000000, -37.000000
  142, -10.000000, -37.000000
  143, -10.000000, -37.000000
  144, -10.000000, -37.000000
  145, -10.000000, -37.000000
  146, -10.000000, -37.000000
  147, -10.000000, -37.000000
  148, -10.000000, -37.000000
  149, -10.000000, -37.000000
  150, -10.000000, -37.000000
  151, -10.000000, -37.000000
  152, -10.000000, -37.000000
  153, -10.000000, -37.000000
  154, -10.000000, -37.000000
  155, -10.000000, -37.000000
  156, -10.000000, -37.000000
  157, -10.000000, -37.000000
  158, -10.000000, -37.000000
  159, -10.000000, -37.000000
  160, -10.000000, -37.000000
  161, -10.000000, -37.000000
  162, -10.000000, -37.000000
  163, -10.000000, -37.000000
  164, -10.000000, -37.000000
  165, -10.000000, -37.000000
